iter	Logloss
280	0.5304860687
281	0.5299708557
282	0.5295018768
283	0.5291561127
284	0.5287943268
285	0.5283773804
286	0.527926712
287	0.5276277161
288	0.5269482422
289	0.5266249847
290	0.5260584641
291	0.5257164764
292	0.5253262711
293	0.5248753357
294	0.5243104553
295	0.5239116669
296	0.5235530472
297	0.5230566406
298	0.5227279663
299	0.5222424316
300	0.5217693329
301	0.5214230728
302	0.520998764
303	0.5204942322
304	0.519995079
305	0.5196411514
306	0.5194371796
307	0.5192238617
308	0.5187452698
309	0.5184136963
310	0.5180160141
311	0.5172905731
312	0.5169656372
313	0.5166316986
314	0.5161781311
315	0.5159945679
316	0.5157502747
317	0.5154097366
318	0.5151167297
319	0.5148796082
320	0.5145765305
321	0.5142263412
322	0.5137068176
323	0.5134228516
324	0.5128612137
325	0.5122840881
326	0.5119517517
327	0.5115497971
328	0.5110401535
329	0.5107649994
330	0.5103989792
331	0.5100496292
332	0.5097862625
333	0.5095798492
334	0.5090962982
335	0.5089060974
336	0.5084935379
337	0.5080324554
338	0.5076144409
339	0.5071784592
340	0.5066618347
341	0.5061193085
342	0.5058183289
343	0.5051750183
344	0.5046060181
345	0.5043668365
346	0.5040220261
347	0.5038745117
348	0.5033478546
349	0.5030128098
350	0.502603302
351	0.5022441101
352	0.5016270828
353	0.5014429092
354	0.500968895
355	0.5006773376
356	0.500306282
357	0.4999316406
358	0.4996539307
359	0.4991042328
360	0.4984069824
361	0.4980332565
362	0.4975809479
363	0.4970616531
364	0.496648407
365	0.4964696503
366	0.4961002731
367	0.495739212
368	0.4950704193
369	0.4945343781
370	0.4942455292
371	0.4937695313
372	0.4932350922
373	0.4926951599
374	0.4923895645
375	0.4921147156
376	0.4913331985
377	0.4907165527
378	0.4901388931
379	0.4897389984
380	0.4894553375
381	0.4890048981
382	0.488501091
383	0.4882290268
384	0.4876657867
385	0.4873109436
386	0.4869826508
387	0.4864828491
388	0.4863755035
389	0.4861705017
390	0.4857548523
391	0.4855737686
392	0.4853222656
393	0.4849589539
394	0.4847285461
395	0.4845088196
396	0.4843167496
397	0.4840790558
398	0.4835257721
399	0.483033638
400	0.4828525543
401	0.4824561691
402	0.4822058868
403	0.4819546127
404	0.4816339874
405	0.4813736343
406	0.4809815979
407	0.480715065
408	0.4803223419
409	0.4801213074
410	0.4799143982
411	0.4798593521
412	0.4795102692
413	0.4789161301
414	0.478694191
415	0.4784495544
416	0.4784464264
417	0.4782600403
418	0.4779475403
419	0.4779444122
420	0.4776437378
421	0.4772364044
422	0.4770010757
423	0.4766100693
424	0.476259079
425	0.4761038971
426	0.4756851959
427	0.47525177
428	0.4749132919
429	0.4745668411
430	0.4740189362
431	0.4737758636
432	0.4732920837
433	0.47295578
434	0.4724675369
435	0.4723528671
436	0.4719839478
437	0.4715961838
438	0.4713066483
439	0.4709768295
440	0.4706932831
441	0.4703167343
442	0.4698220825
443	0.4696194077
444	0.4694716644
445	0.4691534424
446	0.4689236069
447	0.468759613
448	0.4685163116
449	0.4683301926
450	0.468009491
451	0.4678765106
452	0.4676151276
453	0.4672904205
454	0.4670597839
455	0.4667356491
456	0.4665002441
457	0.466213913
458	0.4656944656
459	0.4653889465
460	0.4650777435
461	0.4646209335
462	0.4642088318
463	0.4639242554
464	0.4635272598
465	0.4631520844
466	0.4628155899
467	0.4623758316
468	0.4619989014
469	0.4617266846
470	0.4614749908
471	0.4611139679
472	0.4606538391
473	0.4602087784
474	0.4598113251
475	0.4594035339
476	0.4590180969
477	0.4586495972
478	0.4583826828
479	0.4579872894
480	0.4577235794
481	0.4574969101
482	0.4571953583
483	0.4568012619
484	0.4565291977
485	0.4561348724
486	0.4558922195
487	0.4554780579
488	0.4552339554
489	0.455090332
490	0.4548983765
491	0.4548461914
492	0.4545070267
493	0.4540967941
494	0.4538539886
495	0.4537759018
496	0.4534272003
497	0.4532351303
498	0.4529830933
499	0.4526076508
500	0.4522343826
501	0.4518496323
502	0.4518473434
503	0.4515323639
504	0.4511973572
505	0.4509237289
506	0.4505105591
507	0.4503174973
508	0.4500592041
509	0.4495629883
510	0.4492558289
511	0.4488867188
512	0.4486185074
513	0.4482403564
514	0.4479387665
515	0.4477592468
516	0.4474676514
517	0.4471162796
518	0.4469385147
519	0.4467341232
520	0.4462675858
521	0.4459925079
522	0.4457497406
523	0.4451335907
524	0.4447511292
525	0.4444804764
526	0.4443497849
527	0.4437818146
528	0.4433568954
529	0.4431251526
530	0.4425717926
531	0.4422710419
532	0.4418224716
533	0.4414485931
534	0.4411843872
535	0.4407109833
536	0.4402978134
537	0.4402790451
538	0.4400083923
539	0.4398456192
540	0.4393984222
541	0.439136734
542	0.4389070511
543	0.4385463715
544	0.4383551025
545	0.4381817627
546	0.4379310608
547	0.4376358032
548	0.4372062302
549	0.4370658875
550	0.4368531799
551	0.4366994858
552	0.4362213898
553	0.4358931351
554	0.4356989288
555	0.4354536438
556	0.4353833008
557	0.435136261
558	0.4349058533
559	0.434577179
560	0.4342251968
561	0.4339720154
562	0.4337226868
563	0.4335057831
564	0.4334748077
565	0.4330382538
566	0.4327747345
567	0.4324430847
568	0.4323999405
569	0.432178688
570	0.4318892288
571	0.4315607834
572	0.4312966156
573	0.4309840393
574	0.4306965637
575	0.430464325
576	0.4302771759
577	0.4299099731
578	0.4295290375
579	0.4293217468
580	0.4288635635
581	0.4286811829
582	0.4284506989
583	0.4282527542
584	0.4276910019
585	0.4273006439
586	0.4268790817
587	0.4264840698
588	0.4262179565
589	0.4260277939
590	0.4259965515
591	0.4256601334
592	0.4253743744
593	0.4251354599
594	0.4247319031
595	0.4244615936
596	0.424121933
597	0.4238751221
598	0.4236526489
599	0.4234486771
600	0.4232705307
601	0.422912674
602	0.4225662994
603	0.4223997498
604	0.42213974
605	0.4216357422
606	0.4214655304
607	0.4209237671
608	0.4206175995
609	0.4204036713
610	0.4201425934
611	0.4197212219
612	0.4195169067
613	0.4192472839
614	0.4189953613
615	0.4186801529
616	0.4183146667
617	0.4179911423
618	0.4178063965
619	0.417557373
620	0.4171595764
621	0.4167907333
622	0.4165093613
623	0.4161073685
624	0.4156235504
625	0.4153760529
626	0.4152142334
627	0.4149798203
628	0.4146937561
629	0.4145801544
630	0.4142881775
631	0.414090271
632	0.4137870789
633	0.4133935165
634	0.4130908966
635	0.4126762772
636	0.4122499847
637	0.4120473862
638	0.4118756104
639	0.4115720367
640	0.4112076187
641	0.4109685516
642	0.4106044769
643	0.4101826096
644	0.4099007416
645	0.409647789
646	0.4092189789
647	0.4089988708
648	0.4087534332
649	0.4084473801
650	0.4082270432
651	0.4078240967
652	0.4074201202
653	0.407037735
654	0.4066390228
655	0.4064888
656	0.4062168121
657	0.4059332275
658	0.4057421875
659	0.4054772949
660	0.4050634766
661	0.4048152161
662	0.4045169067
663	0.4042288208
664	0.4040661621
665	0.4039107895
666	0.4036128998
667	0.4033081818
668	0.4030659866
669	0.402743988
670	0.4024523926
671	0.4020944977
672	0.401766777
673	0.4015187836
674	0.4013116455
675	0.401037941
676	0.4007595825
677	0.400490799
678	0.4002285385
679	0.3999647522
680	0.3997338486
681	0.3996070099
682	0.3993371964
683	0.3990895844
684	0.3988755035
685	0.3986657715
686	0.3983251572
687	0.3981271362
688	0.3977835464
689	0.397541275
690	0.397371521
691	0.3971522903
692	0.3968987274
693	0.3966495514
694	0.3963822174
695	0.3959209061
696	0.3957706451
697	0.3956082916
698	0.3953068542
699	0.3951218796
700	0.3947145844
701	0.3944387817
702	0.3942096329
703	0.3939965057
704	0.393819046
705	0.3936138916
706	0.3933625412
707	0.3931611633
708	0.3927826691
709	0.3925603867
710	0.3922717667
711	0.3919022369
712	0.3917390442
713	0.391589241
714	0.39128479
715	0.3911122894
716	0.3909892273
717	0.3907696915
718	0.3906606293
719	0.3904260254
720	0.3900029755
721	0.3896003342
722	0.3893992996
723	0.3891146851
724	0.3888544464
725	0.3885728455
726	0.3882413101
727	0.3880341339
728	0.3875546265
729	0.3871705627
730	0.3867502975
731	0.3864102936
732	0.3860974884
733	0.3858933258
734	0.3856659698
735	0.3853199387
736	0.3850611115
737	0.3849102402
738	0.3846837616
739	0.3844274139
740	0.3842978668
741	0.384159317
742	0.3837962341
743	0.3833827972
744	0.3833127975
745	0.3831430817
746	0.3828523636
747	0.3826829529
748	0.3824054718
749	0.3820850754
750	0.3818457031
751	0.3815376282
752	0.3812775803
753	0.3810917664
754	0.380865593
755	0.3805888748
756	0.3801914215
757	0.3799335861
758	0.3797071075
759	0.3795832825
760	0.3792972946
761	0.3790124512
762	0.378803978
763	0.3784746552
764	0.3782180023
765	0.3779252625
766	0.3776521301
767	0.3772450256
768	0.377122345
769	0.3768735886
770	0.3767723846
771	0.3765483093
772	0.3763928604
773	0.3761623001
774	0.375773468
775	0.3752620316
776	0.3750112915
777	0.3748704147
778	0.3746860504
779	0.3743529129
780	0.3741532135
781	0.3737784576
782	0.3735260773
783	0.3733690262
784	0.3732444763
785	0.3730569458
786	0.3728950882
787	0.3725518799
788	0.3722594452
789	0.3719498062
790	0.371597023
791	0.3713480377
792	0.371052742
793	0.370770607
794	0.3702786255
795	0.3701169586
796	0.3699727249
797	0.369715538
798	0.3693801117
799	0.3691109848
800	0.3686386108
801	0.3684706879
802	0.3681908798
803	0.3677908325
804	0.3676905823
805	0.3674549484
806	0.3671575546
807	0.3670045853
808	0.3668672562
809	0.3665633774
810	0.3663547134
811	0.3660893631
812	0.36593647
813	0.3657462311
814	0.3655408478
815	0.3654291534
816	0.3651016235
817	0.3648552704
818	0.3647087097
819	0.3644609833
820	0.3642240143
821	0.3641571426
822	0.3640788269
823	0.3639049911
824	0.363706665
825	0.3634067535
826	0.3631434631
827	0.3628689194
828	0.362653656
829	0.3623854065
830	0.3621386719
831	0.3618486786
832	0.3615631866
833	0.3614348221
834	0.3613382339
835	0.3611812592
836	0.3609375
837	0.360608139
838	0.3604244614
839	0.3601519775
840	0.3597309113
841	0.3596382141
842	0.3595191193
843	0.3593585968
844	0.3591765213
845	0.3588752365
846	0.3586554718
847	0.3585140991
848	0.358197937
849	0.3579763412
850	0.3576782608
851	0.3575217056
852	0.3572537994
853	0.3570775986
854	0.3569926071
855	0.3567717361
856	0.3566090393
857	0.356248703
858	0.3560729218
859	0.3558476639
860	0.355735054
861	0.3555187225
862	0.3552533722
863	0.3549623871
864	0.3546169281
865	0.3543484497
866	0.3540998077
867	0.3539261627
868	0.3535092163
869	0.3532699585
870	0.353074379
871	0.3528111267
872	0.3527177429
873	0.3525665665
874	0.3521932983
875	0.3519951248
876	0.3518749237
877	0.3516782379
878	0.351505394
879	0.3513016891
880	0.3511252213
881	0.3509090805
882	0.3507458496
883	0.3506537628
884	0.3504704285
885	0.3503192139
886	0.3500901794
887	0.3499987793
888	0.3497866821
889	0.3495600891
890	0.3494260406
891	0.3492416763
892	0.3490194702
893	0.3488754272
894	0.3486965179
895	0.3484308243
896	0.3481211472
897	0.3479001617
898	0.3475442123
899	0.3473748779
900	0.3472674561
901	0.3470983124
902	0.3468983078
903	0.3467045975
904	0.3464925385
905	0.3462426376
906	0.3461552048
907	0.3459740067
908	0.3456855011
909	0.345521965
910	0.3453064346
911	0.3451114273
912	0.3449578857
913	0.3448553848
914	0.3446342468
915	0.3444849014
916	0.3443331146
917	0.3441164017
918	0.3438787079
919	0.3436794662
920	0.3432929611
921	0.343065834
922	0.3428477097
923	0.3427812195
924	0.3426342773
925	0.3425349045
926	0.3423258591
927	0.3421435547
928	0.3418141937
929	0.3417443848
930	0.3416699219
931	0.3415442657
932	0.3413269806
933	0.3411905289
934	0.3410312653
935	0.3409228897
936	0.3407592773
937	0.3406151581
938	0.3405174255
939	0.3403312683
940	0.3400844193
941	0.3398793793
942	0.3396167755
943	0.3393095398
944	0.3391487885
945	0.3390035248
946	0.338728714
947	0.3384210205
948	0.338177948
949	0.3379823303
950	0.337755661
951	0.3375513077
952	0.3373246002
953	0.3371244431
954	0.3367908859
955	0.3365895081
956	0.3364342499
957	0.3362553406
958	0.3359305573
959	0.335693512
960	0.3353856659
961	0.3351931763
962	0.3350889587
963	0.3348477936
964	0.334539566
965	0.3342470169
966	0.3340539932
967	0.3338484573
968	0.3337056732
969	0.3336115265
970	0.3334625626
971	0.3332502365
972	0.3330862427
973	0.3329485703
974	0.3327056122
975	0.332473793
976	0.3322348785
977	0.3319828796
978	0.331774826
979	0.331460762
980	0.33132164
981	0.3312215424
982	0.3310728455
983	0.3308620453
984	0.3307329559
985	0.3305725098
986	0.3303029633
987	0.3300801086
988	0.329709549
989	0.3294562149
990	0.3291632843
991	0.3289247513
992	0.3286586761
993	0.3284869385
994	0.3281929398
995	0.3280450439
996	0.3276018143
997	0.327436409
998	0.327250061
999	0.3271054077
